"UI Promise","Actual Implementation","Gap","Required Backend/Data Logic"
"AI Portfolio Chat","The separate AI chat route returns scaffold text only and the page still presents it as an interactive feature","Visible product promise with no real execution path","Implement a true chat backend with portfolio context, provider selection, and error/fallback handling or remove the feature"
"Broker Connections","The page and hooks exist, but broker sync is disabled and all connectors are scaffolded","UI implies near-readiness while the feature is not operational","Implement connector auth, token/config storage, sync orchestration, and holdings replacement/audit logic"
"Efficient Frontier page","The dedicated page is coming soon while the real optimizer already exists on /optimize","Feature is split across a real page and a fake page","Unify the user-facing optimization experience around the real optimizer service"
"Upload complete state","Base import returns fast and background enrichment continues, but the UI does not actively track completion","Users can believe analytics are final before enrichment has settled","Add enrichment polling, status aggregation, and trust gating for advanced modules"
"Peer Comparison","The selected holding is real, but peer membership comes mostly from a static map","UI implies dynamic peer discovery and strong market coverage","Add a reliable peer-discovery backend source and persist peer metadata/freshness"
"News and Events","The page is real, but empty-provider fallbacks dominate and events are often absent","The UI promise is broader than the live provider reality","Integrate real news and corporate events sources with explicit provider health metadata"
"Snapshot history depth","Snapshots persist holdings and totals, but not actual risk metrics","Historical comparisons imply richer state than is actually stored","Persist risk metrics and enrichment/freshness metadata at snapshot capture time"
"Market overview breadth","Indices and movers are real, but headlines and some non-equity cards are placeholders","Landing page trust is mixed because only part of the screen is live","Add real market headlines and finish missing asset-class provider logic"
"Simulation and rebalancing","The simulation page is a client-side sandbox built off real holdings","Users may infer that changes are validated, saved, or executable workflows","Add backend persistence and scenario versioning if simulation is meant to be a first-class product flow"
"Fundamentals completeness","The UI shows broad ratio coverage, but unsupported tickers can silently degrade into partial coverage","The portfolio-level story can look more complete than the source coverage actually is","Add stronger coverage/freshness indicators and clear exclusion logic per metric and ticker"
