"Feature / Workflow","Frontend Status","Backend Status","Data Status","Score / 100","Deployment Blocker","Primary Issue","Recommended Next Step"
"Authentication and tenancy","Missing","Missing","Missing","0","Yes","No user isolation or auth","Design and implement auth, user model, ownership columns, and route guards"
"Broker sync","Partial scaffold","Scaffold disabled","Missing","10","Yes if visible","No OAuth or holdings sync","Hide route or implement secure broker integration"
"Standalone AI chat","Scaffold","Scaffold","Mock/scaffold","5","Yes if visible","No real AI execution or portfolio context","Remove page or route through real advisor"
"Screener","Placeholder","Missing","Missing","0","Yes if visible","No backend/query engine","Hide or build real screener"
"Legacy frontier","ComingSoon","Deprecated scaffold","Missing","15","No, if hidden","Duplicate of /optimize","Remove or redirect to optimizer"
"Portfolio upload and ingestion","Complete","Complete","Uploaded real data","86","No","Async enrichment trust visibility","Poll enrichment and show complete/degraded states"
"Portfolio management","Complete","Complete","Real global DB","78","Yes for public","Global single-user context","Add user-scoped ownership"
"Dashboard and summary","Complete","Complete","Uploaded plus enrichment","78","No local; yes public","Fallback/stale data trust","Show fallback counts and provider freshness"
"Holdings table","Complete","Complete","Uploaded plus live/current prices","82","No","Price freshness varies per row","Keep row states and add portfolio-level degraded banner"
"Watchlist CRUD","Complete","Complete","Real global DB","76","Yes for public","No user isolation","Add user ownership and auth"
"Watchlist live quotes","Complete","Partial","yfinance","58","No","Quote failures swallowed in hook","Expose missing/status/error to UI"
"Market overview","Complete","Partial","yfinance","66","No","Single provider and placeholder blocks","Add last-known-good cache and hide beta blocks"
"News feed","Complete","Partial","NewsAPI optional","50","No","Provider/key dependent","Improve provider/freshness status and cache"
"Corporate events","Complete shell","Partial","No real provider","35","No, if labeled","Empty can imply no events","Mark not_configured or integrate provider"
"Fundamentals","Complete","Partial","yfinance/FMP/uploaded","68","No","Coverage gaps and provider failures","Expose coverage and provider reason consistently"
"Peer comparison","Complete","Partial","Static map plus yfinance/FMP","64","No","Static/stale peer universe","Version peer dataset or use provider discovery"
"Risk and quant analytics","Complete","Complete","yfinance history dependent","72","No","Coverage can collapse under provider failure","Strengthen provider fallback and coverage UX"
"Optimization","Complete","Complete","yfinance history; optional scipy","72","No","Monte Carlo fallback if scipy unavailable","Declare dependencies or expose method clearly"
"Snapshots/history/changes","Complete","Complete","DB plus yfinance history","72","No","Async history build failure-prone","Add retry/rebuild controls and clearer failure state"
"Simulation","Complete","Frontend-owned","Derived/hypothetical","62","No","Not persisted; local business logic","Label as what-if and keep separated from real analytics"
"Advisor","Complete","Partial","Portfolio context plus optional LLM","62","No","Rule fallback split between frontend/backend","Centralize fallback or version contract"
"Broker connection diagnostics","Complete","Partial scaffold","Scaffold","35","No if debug/internal","Debug exposes known scaffold state","Keep internal-only"
"System diagnostics","Complete","Complete","Runtime metadata","78","No","Should not be public in production","Protect behind auth/admin or disable"
"API client/service layer","Complete","Partial","Mixed","76","No","Deprecated routes still exposed","Remove legacy client functions after route cleanup"
"Feature registry","Complete consumer","Complete","Runtime config","82","No","FMP/scipy/provider details incomplete","Add richer dependency health"
"Persistence/migrations","N/A","Partial","SQLite/ad hoc","30","Yes","No real migration history","Add Alembic baseline and Postgres deployment path"
"Tests and CI","Missing frontend tests","Backend contract tests pass","N/A","68","No","No E2E/browser tests","Add workflow and degraded-state E2E tests"

