"Feature","Location","Data/API Type","Provider or Source","Fallback/Failure Behavior","User Impact","Risk","Recommendation"
"Portfolio provider selection","backend/app/core/dependencies.py","Provider switch","uploaded/live/broker; mock rejected","mode=mock returns 400; unavailable provider returns 503","Good central control, but stale mock references remain elsewhere","Medium","Keep mock rejected or rename to explicit demo mode; remove stale types/docs"
"Live portfolio holdings","backend/app/data_providers/live_provider.py","Live prices over DB holdings","yfinance","Uses DB stored current_price if available; otherwise marks unavailable/missing","Live mode can show stale DB prices if provider fails","High","Expose provider failure and stale status prominently on every consumer"
"Upload price enrichment","backend/app/services/upload_v2_service.py; backend/app/services/price_enrichment_service.py","Live price enrichment","yfinance","Timeout or failure persists provider_failed/missing; uploaded current price can remain","Import can succeed while enrichment is incomplete/degraded","High","Poll status in upload UI and block 'fully ready' messaging until enrichment finishes"
"Portfolio valuation","backend/app/services/price_enrichment_service.py; backend/app/services/portfolio_service.py","Fallback valuation","average_cost from uploaded data","Uses cost basis when trusted current price unavailable","Portfolio value and weights can look valid despite missing market price","High","Show fallback counts and affected tickers at summary/dashboard level"
"Watchlist CRUD","backend/app/api/v1/endpoints/watchlist.py; frontend/src/hooks/useWatchlist.ts","Stored user list","SQLite/global DB","No user isolation; errors surfaced in hook","Works locally but is global for all users","Critical","Add user ownership and auth before public deployment"
"Watchlist live prices","frontend/src/hooks/useWatchlistPrices.ts; backend/app/api/v1/endpoints/live.py","Supplemental live quotes","yfinance /live/quotes","Frontend catch silently swallows errors; backend returns missing/status_by_ticker","Users may not know quote enrichment failed","High","Return and render per-ticker quote status, missing list, and fetch error"
"Market overview indices","backend/app/api/v1/endpoints/market.py; frontend/src/app/market/page.tsx","Live market data","yfinance","Per-index unavailable entries with reason; cached 2 minutes","Graceful degradation, but all indices fail if Yahoo/DNS fails","High","Add provider health banner and secondary source or cached last-known-good strategy"
"Market top gainers/losers","backend/app/api/v1/endpoints/market.py","Live market movers","yfinance batch download","Returns empty arrays plus movers_status unavailable","Can look empty if UI ignores movers_status","Medium","Ensure UI always renders movers_status reason for empty mover lists"
"Market headlines","frontend/src/app/market/page.tsx; backend/app/api/v1/endpoints/news.py","News data","NewsAPI via provider","news_status distinguishes empty/unavailable","Good status contract, but depends on one provider","Medium","Cache headlines and add provider-health/freshness display"
"FX/commodities market blocks","frontend/src/app/market/page.tsx","Placeholder/static UI","None","Visible beta placeholders only","Mixed real and non-real market content","Medium","Hide until backed by provider or keep strongly disabled"
"Fundamentals endpoint","backend/app/api/v1/endpoints/live.py; backend/app/data_providers/live_provider.py","Live fundamentals","yfinance; optional FMP supplement/fallback","404 for no data; provider returns source=unavailable in provider path","Unsupported tickers degrade, but direct endpoint errors","High","Normalize error shapes and expose FMP key/provider coverage"
"Fundamentals portfolio ratios","backend/app/api/v1/endpoints/analytics.py; backend/app/services/fundamentals_view_service.py","Persisted and enriched fundamentals","Uploaded DB, yfinance/FMP enrichment state","Unavailable rows included with status","Usable but coverage can be partial","Medium","Show coverage percentage and unavailable tickers consistently"
"Peer discovery","backend/app/data_providers/live_provider.py; backend/app/data_providers/file_provider.py","Static/provider fallback","_PEER_MAP first; FMP if configured and static miss","No peers when both miss; meta exposes source/status","Static peer universe can be stale","High","Use maintained peer dataset or provider-backed discovery with freshness metadata"
"Peer fundamentals","backend/app/api/v1/endpoints/peers.py","Live fundamentals per peer","Provider get_fundamentals","Per-peer 5s timeout; unavailable/timed_out listed in meta","Good incomplete-state model","Medium","Keep; add tests for timeout/sparse set UI"
"News feed","backend/app/api/v1/endpoints/news.py; backend/app/data_providers/live_provider.py","Live news","NewsAPI","Missing key gives unavailable; provider errors become news_status unavailable","No hidden mock news, but product incomplete without key/provider","High","Add provider SLA/freshness and cache; clarify empty vs unavailable in all views"
"Corporate events","backend/app/api/v1/endpoints/news.py; live/file/mock providers","Missing live provider","None","Returns empty events with events_status empty in many cases","Can read as no events rather than no event provider","High","Integrate real events provider or mark feature unavailable/scaffolded"
"Quant/risk analytics","backend/app/api/v1/endpoints/quant.py; backend/app/analytics/quant_service.py","Historical prices","provider.get_price_history; benchmark yfinance","Unavailable tickers excluded; insufficient data returns empty result with meta","Analytics coverage can collapse under Yahoo failure","High","Improve external history provider strategy and display coverage in all risk views"
"Benchmark history","backend/app/analytics/benchmark.py","Index history","yfinance ^NSEI","Returns source=unavailable; no synthetic fallback","Relative metrics become null","Medium","Keep; add last-known-good benchmark cache"
"Optimization","backend/app/api/v1/endpoints/optimization.py; backend/app/optimization/frontier.py","Historical prices and math optimization","Provider histories; optional scipy/sklearn","Monte Carlo fallback when scipy unavailable","Methodology varies by environment","Medium","Declare scipy/sklearn or expose method prominently"
"Portfolio history/changes","backend/app/api/v1/endpoints/history.py; backend/app/services/history_service.py","Historical price build","yfinance/pandas","Async build states; unavailable history noted","Changes charts can be incomplete or unavailable","Medium","Add visible build failure recovery and retry controls"
"Advisor AI","backend/app/api/v1/endpoints/advisor.py; backend/app/services/ai_advisor_service.py; frontend/src/hooks/useAdvisor.ts","AI plus rule fallback","Anthropic/OpenAI optional; frontend rule fallback","fallback_used=True routes to local rule-based response","Can look like advisor despite no AI provider","Medium","Centralize fallback ownership and label rule-based mode clearly"
"Standalone AI chat","backend/app/api/v1/endpoints/ai_chat.py; frontend/src/app/ai-chat/page.tsx","Scaffold","None","Returns scaffold text","Nonfunctional public surface","Critical","Remove or hide until implemented"
"Broker connectors","backend/app/connectors/*; backend/app/api/v1/endpoints/brokers.py; frontend/src/app/brokers/page.tsx","Scaffold","Zerodha/IBKR planned","Disabled/scaffolded connector states","Nonfunctional financial sync surface","Critical","Hide or implement secure OAuth and sync"
"Screener","frontend/src/app/screener/page.tsx","Placeholder","None","No backend/data pipeline","Nonfunctional public surface","Critical","Hide or implement real screener"
"Legacy frontier","backend/app/api/v1/endpoints/frontier.py; frontend/src/app/frontier/page.tsx","Deprecated scaffold","None","Returns deprecated scaffold; ComingSoon page","Duplicate/confusing with real /optimize","High","Remove route/page or redirect to /optimize"
"Legacy analytics risk","backend/app/api/v1/endpoints/analytics.py","Scaffold/legacy endpoint","None","Risk moved to /quant/full","Potential stale consumer confusion","High","Deprecate from client and OpenAPI production contract"
"Mock provider","backend/app/data_providers/mock_provider.py; backend/mock_data/portfolio.json","Static mock data","JSON file","Central runtime rejects mock mode","Mostly unreachable but confusing","Low","Delete or convert to explicit demo mode"
"Mock/generated types","frontend/src/types/index.ts; frontend/src/generated/api-types.ts; backend/app/schemas/portfolio.py","Stale contract language","Generated/manual schema","Types still mention mock/mock_fallback/scaffold defaults","Future code can normalize old behavior","High","Clean schemas, regenerate types, update manual domain types"
"Static stock autocomplete","frontend/src/data/stockList.ts","Static list","Local TS list","No live validation","Autocomplete may include stale/missing tickers","Low","Add source/version or validate selected tickers on add"

